head_sync,Time
0.182096036,789.2
0.171742497,789.6
0.150864934,790
0.134120183,790.4
0.120414286,790.8
0.125272424,791.2
0.102753519,791.6
0.125074338,792
0.165079963,792.4
0.158648737,792.8
0.144364736,793.2
0.132621818,793.6
0.127506208,794
0.129871885,794.4
0.133438016,794.8
0.126703679,795.2
0.134335557,795.6
0.13279208,796
0.138673032,796.4
0.134928229,796.8
0.126576029,797.2
0.097773254,797.6
0.126872227,798
0.134995129,798.4
0.134375247,798.8
0.145114853,799.2
0.137391155,799.6
0.130141558,800
0.127409847,800.4
0.122811552,800.8
0.126521037,801.2
0.117243029,801.6
0.11523432,802
0.115512575,802.4
0.112848591,802.8
0.104607994,803.2
0.093999905,803.6
0.100743158,804
0.116221617,804.4
0.122771765,804.8
0.121864421,805.2
0.134017134,805.6
0.136408419,806
0.146257797,806.4
0.135978092,806.8
0.13834731,807.2
0.123338382,807.6
0.120552213,808
0.12117151,808.4
0.118914377,808.8
0.124145397,809.2
0.118263383,809.6
0.121489147,810
0.108888505,810.4
0.121767072,810.8
0.141988557,811.2
