r_r_VM,Time
0.222101478,390.9656332
-0.0053909,391.3588463
-0.235553973,391.7520595
-0.443920152,392.1452726
-0.611951444,392.5384857
-0.727625975,392.9316989
-0.782704165,393.324912
-0.769326911,393.7181252
-0.68198688,394.1113383
-0.529700681,394.5045514
-0.330719901,394.8977646
-0.105573826,395.2909777
0.113894093,395.6841909
0.299618364,396.077404
0.440018574,396.4706171
0.529837122,396.8638303
0.564955523,397.2570434
0.537002498,397.6502566
0.448504601,398.0434697
0.317969242,398.4366829
0.163118212,398.829896
0.004458249,399.2231091
-0.132153408,399.6163223
-0.228390955,400.0095354
-0.277438522,400.4027486
-0.276725936,400.7959617
-0.226597261,401.1891748
-0.128628141,401.582388
0.022751805,401.9756011
0.20673914,402.3688143
0.392546715,402.7620274
0.554047252,403.1552405
0.67790573,403.5484537
0.750170868,403.9416668
0.759364052,404.33488
0.705540165,404.7280931
0.592090969,405.1213063
0.427251183,405.5145194
0.232037818,405.9077325
0.025696227,406.3009457
-0.185219532,406.6941588
-0.387126477,407.087372
-0.5631029,407.4805851
-0.707700733,407.8737982
-0.821734219,408.2670114
-0.904497437,408.6602245
-0.953796475,409.0534377
-0.965753021,409.4466508
-0.93893704,409.8398639
-0.898339816,410.2330771
-0.867509607,410.6262902
-0.856805642,411.0195034
-0.862059419,411.4127165
-0.878461435,411.8059297
-0.901197687,412.1991428
-0.923555991,412.5923559
-0.938826902,412.9855691
-0.941547741,413.3787822
-0.925566272,413.7719954
-0.879178432,414.1652085
-0.784119204,414.5584216
-0.634061641,414.9516348
-0.458285577,415.3448479
-0.295874333,415.7380611
-0.165783431,416.1312742
-0.0714318,416.5244873
-0.012155573,416.9177005
0.013098132,417.3109136
0.005207393,417.7041268
-0.034910605,418.0973399
-0.105832845,418.4905531
-0.205802215,418.8837662
-0.330891896,419.2769793
-0.472110578,419.6701925
-0.618034991,420.0634056
-0.757345129,420.4566188
-0.880276032,420.8498319
-0.978020654,421.243045
-1.042410478,421.6362582
-1.0701485,422.0294713
-1.072024257,422.4226845
-1.070610439,422.8158976
-1.07808669,423.2091107
-1.074856225,423.6023239
-1.04184905,423.995537
-0.975433304,424.3887502
-0.878593379,424.7819633
-0.755980558,425.1751765
-0.611652337,425.5683896
-0.446332216,425.9616027
-0.258565508,426.3548159
-0.060903624,426.748029
0.129217214,427.1412422
0.300419885,427.5344553
0.439565012,427.9276684
0.534503713,428.3208816
0.57993275,428.7140947
0.572387034,429.1073079
0.506230707,429.500521
0.37606169,429.8937341
0.193094925,430.2869473
-0.007033696,430.6801604
-0.18329621,431.0733736
-0.308954774,431.4665867
-0.387898402,431.8597999
-0.441537744,432.253013
-0.481446073,432.6462261
-0.508773326,433.0394393
-0.520754598,433.4326524
-0.514971002,433.8258656
-0.495612371,434.2190787
-0.478223401,434.6122918
-0.47263138,435.005505
-0.485568817,435.3987181
-0.528701534,435.7919313
-0.587744733,436.1851444
-0.63338948,436.5783575
-0.655410193,436.9715707
-0.647380186,437.3647838
-0.603839175,437.757997
-0.518464668,438.1512101
-0.390435725,438.5444233
-0.229581805,438.9376364
-0.052279697,439.3308495
0.114269287,439.7240627
0.246330458,440.1172758
0.347284836,440.510489
0.430754692,440.9037021
0.49780922,441.2969152
0.51955243,441.6901284
0.48649916,442.0833415
0.399313652,442.4765547
0.261135478,442.8697678
0.079613199,443.2629809
-0.125413724,443.6561941
-0.314410409,444.0494072
-0.458188479,444.4426204
-0.54963416,444.8358335
-0.583102018,445.2290467
-0.563114137,445.6222598
-0.504555568,446.0154729
-0.428568045,446.4086861
-0.350521967,446.8018992
-0.274033133,447.1951124
-0.191359094,447.5883255
-0.083058315,447.9815386
0.067527963,448.3747518
0.245445756,448.7679649
0.407668526,449.1611781
